time,N1,N2,P
0,0.5,0.3,0.1
0.5,0.530310065013118,0.319842810159719,0.109105063381083
1,0.549005852411511,0.33406458997612,0.120222287567534
1.5,0.557820021037234,0.343815050507684,0.133236390546322
2,0.5586262542273,0.350271058963011,0.148031849080057
2.5,0.553070403213169,0.354439771194841,0.164475986007009
3,0.542465377404081,0.357105150353959,0.182402306243864
3.5,0.527822009101929,0.358846204195483,0.201595918815277
4,0.509927530266508,0.360079500253804,0.22178290155968
4.5,0.489426217700507,0.361102751850457,0.242625513753619
5,0.466883828587328,0.362131046462306,0.263725022680312
5.5,0.442830807667138,0.363324251353627,0.284633367494056
6,0.417784914463626,0.364806666688802,0.304873817343816
6.5,0.39225625094318,0.366680503081934,0.323969250500162
7,0.366738870847071,0.369034531186678,0.34147497761805
7.5,0.341693956111264,0.371948886424198,0.357011640378952
8,0.317529915524042,0.375496752972208,0.370293162396983
8.5,0.294584425002932,0.379743556846797,0.381145344737232
9,0.273112262010085,0.384744332110888,0.389512424765421
9.5,0.253280987255477,0.390540006460302,0.395451275999158
10,0.235174566145842,0.397153400192168,0.39911520743404
10.5,0.218803425617763,0.404585694264497,0.400730887173841
11,0.204118553124745,0.412813991230352,0.40057245505157
11.5,0.191027114698026,0.42179039431959,0.398936478337785
12,0.179407504778748,0.431442804880437,0.396120387902199
12.5,0.169122445806698,0.441677420983169,0.392405824250005
13,0.160029467613072,0.452382731341989,0.388047249616999
13.5,0.151988656930809,0.463434649833809,0.383265414184508
14,0.144867924305068,0.474702333872459,0.378244831338468
14.5,0.138546210091076,0.486054181194685,0.373134261880959
15,0.132915095132844,0.497363508722849,0.36804924110615
15.5,0.127879249151489,0.508513482782419,0.363075820848617
16,0.123356082551244,0.519400982066856,0.358274876985249
16.5,0.119274891622026,0.529939215008117,0.353686510820103
17,0.115575716665697,0.540059058676678,0.349334228866569
17.5,0.112208072776757,0.549709214939721,0.345228711414921
18,0.109129664753141,0.558855375142057,0.34137107532373
18.5,0.106305159855653,0.56747863941797,0.337755603998457
19,0.103705063291642,0.575573451845911,0.334371962345906
19.5,0.101304719831042,0.583145295400883,0.331206941650391
20,0.0990834495317714,0.590208351722354,0.328245793392787
